language	comparison	file1	file2	criterion	n_examples	spearman_r	spearman_p	mean_a	mean_b	exact_agreement	adjacent_agreement	quadratic_CohenK	ICC_2_1_absolute
Croatian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Croatian.tsv	Manual_evaluation_Croatian_1.xlsx	General_Quality	30	0.768	0.0	3.17	3.63	0.233	0.9	0.618	0.626
Flemish	human_1_vs_human_2	Manual_evaluation_Flemish_1.xlsx	Manual_evaluation_Flemish_2.xlsx	Adequacy	30	0.871	0.0	2.47	2.57	0.7	0.933	0.87	0.874
Flemish	human_1_vs_human_2	Manual_evaluation_Flemish_1.xlsx	Manual_evaluation_Flemish_2.xlsx	Fluency	30	0.59	0.0006	4.07	4.33	0.633	0.967	0.543	0.552
Flemish	human_1_vs_human_2	Manual_evaluation_Flemish_1.xlsx	Manual_evaluation_Flemish_2.xlsx	General_Quality	30	0.838	0.0	2.63	2.53	0.633	0.933	0.844	0.848
Flemish	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Flemish.tsv	Manual_evaluation_Flemish_1.xlsx	Adequacy	30	0.791	0.0	3.3	2.47	0.333	0.8	0.581	0.589
Flemish	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Flemish.tsv	Manual_evaluation_Flemish_1.xlsx	Fluency	30	0.317	0.0879	3.17	4.07	0.367	0.733	0.178	0.183
Flemish	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Flemish.tsv	Manual_evaluation_Flemish_1.xlsx	General_Quality	30	0.606	0.0004	3.13	2.63	0.367	0.8	0.5	0.508
Flemish	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Flemish.tsv	Manual_evaluation_Flemish_2.xlsx	Adequacy	30	0.866	0.0	3.3	2.57	0.3	0.833	0.66	0.667
Flemish	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Flemish.tsv	Manual_evaluation_Flemish_2.xlsx	Fluency	30	0.178	0.3458	3.17	4.33	0.133	0.633	0.063	0.065
Flemish	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Flemish.tsv	Manual_evaluation_Flemish_2.xlsx	General_Quality	30	0.682	0.0	3.13	2.53	0.267	0.733	0.499	0.507
Hungarian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Hungarian.tsv	Manual_evaluation_Hungarian_1.xlsx	Adequacy	30	0.308	0.0972	3.57	3.2	0.3	0.633	0.256	0.263
Hungarian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Hungarian.tsv	Manual_evaluation_Hungarian_1.xlsx	Fluency	30	-0.067	0.7262	3.23	4.37	0.267	0.633	-0.014	-0.015
Hungarian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Hungarian.tsv	Manual_evaluation_Hungarian_1.xlsx	General_Quality	30	0.326	0.0791	3.43	3.4	0.4	0.833	0.313	0.32
Latvian	human_1_vs_human_2	Manual_evaluation_Latvian_1.xlsx	Manual_evaluation_Latvian_2.xlsx	Adequacy	30	0.821	0.0	3.27	3.37	0.533	0.933	0.803	0.809
Latvian	human_1_vs_human_2	Manual_evaluation_Latvian_1.xlsx	Manual_evaluation_Latvian_2.xlsx	Fluency	30	0.437	0.0158	4.0	4.43	0.333	0.967	0.41	0.418
Latvian	human_1_vs_human_2	Manual_evaluation_Latvian_1.xlsx	Manual_evaluation_Latvian_2.xlsx	General_Quality	30	0.776	0.0	3.1	3.43	0.433	0.867	0.741	0.748
Latvian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Latvian.tsv	Manual_evaluation_Latvian_1.xlsx	Adequacy	30	0.559	0.0013	3.87	3.27	0.233	0.767	0.464	0.473
Latvian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Latvian.tsv	Manual_evaluation_Latvian_1.xlsx	Fluency	30	0.454	0.0117	3.37	4.0	0.367	0.867	0.311	0.318
Latvian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Latvian.tsv	Manual_evaluation_Latvian_1.xlsx	General_Quality	30	0.693	0.0	3.5	3.1	0.333	0.667	0.462	0.471
Latvian	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Latvian.tsv	Manual_evaluation_Latvian_2.xlsx	Adequacy	30	0.661	0.0001	3.87	3.37	0.333	0.8	0.48	0.489
Latvian	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Latvian.tsv	Manual_evaluation_Latvian_2.xlsx	Fluency	30	0.264	0.1587	3.37	4.43	0.233	0.7	0.115	0.118
Latvian	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Latvian.tsv	Manual_evaluation_Latvian_2.xlsx	General_Quality	30	0.71	0.0	3.5	3.43	0.433	0.833	0.522	0.531
Polish	human_1_vs_human_2	Manual_evaluation_Polish_1.xlsx	Manual_evaluation_Polish_2.xlsx	Adequacy	30	0.845	0.0	3.2	3.5	0.567	0.967	0.877	0.881
Polish	human_1_vs_human_2	Manual_evaluation_Polish_1.xlsx	Manual_evaluation_Polish_2.xlsx	Fluency	30	0.044	0.8173	4.53	4.9	0.567	0.933	0.059	0.061
Polish	human_1_vs_human_2	Manual_evaluation_Polish_1.xlsx	Manual_evaluation_Polish_2.xlsx	General_Quality	30	0.849	0.0	3.07	3.5	0.567	0.9	0.84	0.845
Polish	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Polish.tsv	Manual_evaluation_Polish_1.xlsx	Adequacy	30	0.833	0.0	3.97	3.2	0.367	0.7	0.587	0.595
Polish	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Polish.tsv	Manual_evaluation_Polish_1.xlsx	Fluency	30	0.162	0.3939	3.9	4.53	0.333	0.8	0.108	0.111
Polish	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Polish.tsv	Manual_evaluation_Polish_1.xlsx	General_Quality	30	0.686	0.0	3.83	3.07	0.333	0.567	0.499	0.507
Polish	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Polish.tsv	Manual_evaluation_Polish_2.xlsx	Adequacy	30	0.755	0.0	3.97	3.5	0.4	0.8	0.6	0.608
Polish	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Polish.tsv	Manual_evaluation_Polish_2.xlsx	Fluency	30	0.127	0.5022	3.9	4.9	0.4	0.633	0.057	0.059
Polish	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Polish.tsv	Manual_evaluation_Polish_2.xlsx	General_Quality	30	0.715	0.0	3.83	3.5	0.367	0.7	0.586	0.594
Portuguese	human_1_vs_human_2	Manual_evaluation_Portuguese_1.xlsx	Manual_evaluation_Portuguese_2.xlsx	Adequacy	30	0.876	0.0	3.77	3.73	0.767	1.0	0.959	0.96
Portuguese	human_1_vs_human_2	Manual_evaluation_Portuguese_1.xlsx	Manual_evaluation_Portuguese_2.xlsx	Fluency	30	0.415	0.0225	4.83	4.97	0.867	1.0	0.294	0.301
Portuguese	human_1_vs_human_2	Manual_evaluation_Portuguese_1.xlsx	Manual_evaluation_Portuguese_2.xlsx	General_Quality	30	0.776	0.0	3.77	4.1	0.533	0.933	0.764	0.77
Portuguese	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Portuguese.tsv	Manual_evaluation_Portuguese_1.xlsx	Adequacy	30	0.728	0.0	3.83	3.77	0.433	0.9	0.718	0.725
Portuguese	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Portuguese.tsv	Manual_evaluation_Portuguese_1.xlsx	Fluency	30	-0.134	0.4792	3.57	4.83	0.3	0.633	-0.045	-0.047
Portuguese	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Portuguese.tsv	Manual_evaluation_Portuguese_1.xlsx	General_Quality	30	0.693	0.0	3.6	3.77	0.2	0.8	0.57	0.579
Portuguese	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Portuguese.tsv	Manual_evaluation_Portuguese_2.xlsx	Adequacy	30	0.699	0.0	3.83	3.73	0.433	0.9	0.742	0.749
Portuguese	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Portuguese.tsv	Manual_evaluation_Portuguese_2.xlsx	Fluency	30	0.145	0.4446	3.57	4.97	0.233	0.633	0.011	0.011
Portuguese	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Portuguese.tsv	Manual_evaluation_Portuguese_2.xlsx	General_Quality	30	0.594	0.0005	3.6	4.1	0.333	0.9	0.582	0.59
Serbian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Serbian.tsv	Manual_evaluation_Serbian_1.xlsx	Adequacy	30	0.35	0.0576	3.73	2.73	0.3	0.667	0.252	0.259
Serbian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Serbian.tsv	Manual_evaluation_Serbian_1.xlsx	Fluency	30	0.051	0.7874	3.27	4.73	0.167	0.3	-0.018	-0.019
Serbian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Serbian.tsv	Manual_evaluation_Serbian_1.xlsx	General_Quality	30	0.24	0.2014	3.3	2.7	0.133	0.633	0.188	0.193
Slovak	human_1_vs_human_2	Manual_evaluation_Slovak_1.xlsx	Manual_evaluation_Slovak_2.xlsx	Adequacy	30	0.831	0.0	2.5	2.57	0.6	0.867	0.827	0.832
Slovak	human_1_vs_human_2	Manual_evaluation_Slovak_1.xlsx	Manual_evaluation_Slovak_2.xlsx	Fluency	30	0.629	0.0002	4.17	4.6	0.633	0.867	0.596	0.605
Slovak	human_1_vs_human_2	Manual_evaluation_Slovak_1.xlsx	Manual_evaluation_Slovak_2.xlsx	General_Quality	30	0.872	0.0	2.5	2.57	0.667	0.867	0.846	0.851
Slovak	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Slovak.tsv	Manual_evaluation_Slovak_1.xlsx	Adequacy	30	0.71	0.0	3.57	2.5	0.3	0.767	0.519	0.527
Slovak	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Slovak.tsv	Manual_evaluation_Slovak_1.xlsx	Fluency	30	0.227	0.2283	3.27	4.17	0.2	0.633	0.128	0.132
Slovak	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Slovak.tsv	Manual_evaluation_Slovak_1.xlsx	General_Quality	30	0.736	0.0	3.37	2.5	0.167	0.733	0.522	0.531
Slovak	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Slovak.tsv	Manual_evaluation_Slovak_2.xlsx	Adequacy	30	0.715	0.0	3.57	2.57	0.233	0.8	0.543	0.551
Slovak	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Slovak.tsv	Manual_evaluation_Slovak_2.xlsx	Fluency	30	0.063	0.7421	3.27	4.6	0.233	0.5	0.024	0.025
Slovak	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Slovak.tsv	Manual_evaluation_Slovak_2.xlsx	General_Quality	30	0.745	0.0	3.37	2.57	0.267	0.733	0.539	0.548
Slovenian	human_1_vs_human_2	Manual_evaluation_Slovenian_1.xlsx	Manual_evaluation_Slovenian_2.xlsx	Adequacy	30	0.719	0.0	2.57	2.47	0.367	0.9	0.646	0.653
Slovenian	human_1_vs_human_2	Manual_evaluation_Slovenian_1.xlsx	Manual_evaluation_Slovenian_2.xlsx	Fluency	30	0.746	0.0	4.17	3.77	0.533	1.0	0.669	0.677
Slovenian	human_1_vs_human_2	Manual_evaluation_Slovenian_1.xlsx	Manual_evaluation_Slovenian_2.xlsx	General_Quality	29	0.782	0.0	2.48	2.55	0.483	0.966	0.782	0.788
Slovenian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Slovenian.tsv	Manual_evaluation_Slovenian_1.xlsx	Adequacy	30	0.69	0.0	2.9	2.57	0.133	0.867	0.602	0.61
Slovenian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Slovenian.tsv	Manual_evaluation_Slovenian_1.xlsx	Fluency	30	0.029	0.8778	2.77	4.17	0.267	0.533	0.044	0.046
Slovenian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Slovenian.tsv	Manual_evaluation_Slovenian_1.xlsx	General_Quality	29	0.514	0.0044	2.93	2.48	0.345	0.793	0.372	0.38
Slovenian	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Slovenian.tsv	Manual_evaluation_Slovenian_2.xlsx	Adequacy	30	0.583	0.0007	2.9	2.47	0.433	0.867	0.545	0.554
Slovenian	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Slovenian.tsv	Manual_evaluation_Slovenian_2.xlsx	Fluency	30	-0.057	0.7657	2.77	3.77	0.333	0.667	0.01	0.011
Slovenian	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Slovenian.tsv	Manual_evaluation_Slovenian_2.xlsx	General_Quality	30	0.438	0.0156	2.93	2.53	0.4	0.8	0.335	0.343
